" |text просить устранить недостаток сквер ряд почта"
" |text сквер около издательство ул декабрист сломать качели"
" |text просить повесить капроновый цветной сетка футбольный ворот баскетбольный кольцо территория спортивный площадка парка победа"
" |text просьба расчистить снег основание горка нержавейка парка урицкий скатываться горка ребенок биться снежный бордюр очень травмоопасный"
" |text улица мурадьян парка солнечный поляна травмоопасный большой ледяной горка конец спуск находиться арка который взрослый ребенок случайно биться голова просить изменить направление трасса спуск избежание серьезный травма"
" |text почему чищеный беговой велосипедный дорожка парка позор"
" |text опасный кататься конек пробоина лед каток просьба принять мера пока случиться несчастный случай снег каток убирать"
" |text просьба привести нормативный состояние"
" |text просьба привести нормативный состояние"
" |text гореть существующий светильник парка грький конец парк сторона городошный площадка"
" |text добрый день просьба очистить снег периметр внутренний сектор парк летие ново савин район речь идти известно последний день выпасть новый снег который необходимый убрать"
" |text просить соорудить угловой навес снег весь спортивный площадка парка победа радость глаз наш ребенок зимой возможность заниматься открытый воздух снег баскетбол футбол"
" |text территория сад зеленый зона устроить стоянка машина ехать дорожка прогулочный закрыть заезд цепь сорвать"
" |text спортивный площадка парка сосновый роща нужно восстановить скамейка доска остаться опора"
" |text убирать снег детский площадка"
" |text весь скамейка снег"
" |text возможность войти парк сторона каток коляска вход находиться противоположный сторона вынудить обходить километр попасть парк"
" |text отремонтировать ребенок мочь получить травма"
" |text элемент детский площадка расшататься разболтаться подножка шататься торчать защитить болт требоваться небольшой ремонт"
" |text парка урицкий место массовый катание человек горка необходимый обезопасить находиться центр фонарный столб мягкий безопасный материал"
" |text вход парк установить буква который торчать гвоздь просьба устранить"
" |text никто чистить пешеходный тропинка парка год назад ездить трактор очищать тропинка помогать дворник пешеходный мостик очищаться тропинка забывать ходить гулять очень трудно особенно человек предпенссионогий возраст родитель малыш"
" |text уборка снег бульдозер парка урицкий ломать посадить дирекция елка дерево заваливать снег вообще смотреть делать стать худой ранний утоптать троп распахать снег ходить очень трудно вести парк королева оценка"
" |text герб подлодка находиться реставрация месяц тема номер закрыть ответ давать вернуть наш герб стыдно гость столица парк заводить показывать имя пустовать подлодка"
" |text весь парк черный озеро превратиться место выгул собака везде собачий экскремент моча ребенок погулять парка парк стать больший туалет собака требовать запретить вход собака"
" |text бетонный забор горкинско ометьевский леса инфекционный больница изобразить экстремистский символ свастика просьба убрать признак вандализм дать забор"
" |text горьковско ометьевмский парка"
" |text невозможно гулять маленький ребенок мочь грудной ребенок заснуть время прогулка проходить мимо горка ребенок просыпаться громкий музыка реклама рупор это парк семья дискоцентр музыка нужный ребенок"
" |text необходимый установить крепкий непроезжать ограждение эко зона парк повесить неснимать замок машина загазовывать эко зона парковаться дорожка пеший прогулка коляска нарушать весь правило"
" |text добрый день просить очистить снег дорожка внешний периметр парк летие ново савиновский район спасибо"
" |text сгрести собранный дорога снег трактор парк испортить дерево куст парк культура отдых комсомольский набережная просить принять мера снег должный вывозиться"
" |text стоянка сквер лемаева рк джалиль начало зима чиститься хотя весь остальной территория сквер убираться регулярно машина больший труд заезжать парковаться просить принять мера"
" |text автомобиль заезжать парк ездить пешеходный дорожка создавать опасный жизнь здоровье посетитель ситуация просить установить оградить препятствовать проезд автомобиль"
" |text день назад озеро появиться сильный запах канализация затем начать сильно таять лед запах усилиться угроза гулять лед ребенок взрослый"
" |text тропинка парка занести снег понимать снег тротуар мочь возможность почистить тропинка"
" |text отсутствовать знак оповещать данный заезд парк пожарный спецтехник заезжать легковой автомобиль создавать аварийный опасный пешеход ситуация"
" |text парка урицкий вечер отсутствовать часть освещение"
" |text сделать красивый парк оставить ужасный забор удалить граффити это ряд туалет парка имя урицкий"
" |text работать весь ряд фонарь сквер ул парин темно очень просить восстановить освещение"
" |text короткиий замыканя фонарь освещение парк пахнуть гарь"
" |text парка чищеный дорожка везде рыхлый снег пожилое человек тяжело совершать прогулка матерь коляска очень трудно ходить"
" |text парка урицкий конец парк должный пруд сделать канатный детский площадка парка аметьево"
" |text глубокий ям провалиться повредить нога отремонтировать"
" |text месяц стоить поломон скамейка"
" |text очень сложно ходить парка либо лужа либо мокрый снег"
" |text защитить кабель высота метр согласно норма это парк континент ребенок ходить"
" |text просьба очистить мусор сливной решетка"
" |text восстановить освещение светодиодный лента арка"
" |text невозможно дойти детский площадка ребенок коляска почему уборка снег производиться"
" |text администрация город осуществить очистка аллея снег"
" |text остановка общественный место парк большой развязка большой количество человек гулять мамочка ребенок туалет сходить поставить общественный туалет парка"
" |text весь зима городской парк чистить снег пара очень сложно ходить дорожка особенно пожилое мама санки"
" |text зоопарк городской парк город альметьевск требоваться ветеринарный помощь кролик некоторый вид больной глазок похоже повредить лапка"
" |text парка яшьлек ти год освещение сей пора доделать позволять совершать вечерний прогулка уютный уголок наш любимый город"
" |text сквер хотеться добавить дорожка который скапливаться вод любой погода аккуратно идти дерево будущий дорожка являться короткий путем который ходить ходить человек нея приходиться идти либо обход либо топать грязь"
" |text детский площадка грязь лед чистить убираться"
" |text дербышкаха место стоялый городской елка образоваться свалка елочный ветка деревяшка снег весь это видно снег растаять стать неприятно гулять парка"
" |text просьба привести порядок стелла парка победа аллея герой великий праздник день победа месяц"
" |text весь светильник перегореть это отдельный обращение отдельный аллея общий подача свет парк восстановить речь светильник конкретный аллея напряжение модерация заворачивать обращение разобраться деталь"
" |text обрушиться задний фасад памятник вахитов"
" |text общественный туалет висеть объявление просьба заходить мама коляска мама мочь воспользоваться услуга туалет оставить коляска ребенок улица присмотр сотрудник запрещать заходить объяснять запрет коляска портить имущество"
" |text сквер очень рабочий фонарь необходимый ремонт электрооборудование"
" |text необходимый открыть крышка колодец ливневка весь территория вода это вод увеличиваться отток вода дорожка прочистить сливной люк закрытый"
" |text очень узкий тропка парка около фонтан идти невозможно скользко снежный каша никто чистить"
" |text провалиться земля плита бульвар фучик"
