" |text добрый день осуществляться уборка снег центр город гость житель мочь воспользоваться платный парковка движение автотранспорт крайне затруднить"
" |text дать участок проезжий часть ул халитовый дом ул халитовый двухсторонний движение видеть снимка наличие односторонний движение снег убираться проезжий часть ситуация повторяться год год"
" |text плохо очистить проезжать часть проспект победа около академия правосудие мегастрой именно правый сторона дорога автобусный полоса также заезд выезд проспект победа очистить оба направление проспект победа"
" |text правый часть проезжий часть мамадышский тракт плохо очистить сузить проезжий часть необходимый хороший чистить дорога"
" |text убирать снег тротуар точнее уборка дорога весь снег дорога расположить тротуар нужно очистить тротуар передвижение пешеход"
" |text повоедить отсутствовать металлический крышка ливневка"
" |text необходимый очистка пешеходный дорожка магазин светофор автомойка айсберг зима чиститься хозяин дорога сильный снегопад дорожка пройти пешеходный дорожка"
" |text мост возле мироновка мост далее очистить пешеходный дорога снег"
" |text неделя убирать снег улица новоселье сторона частное сектор"
" |text тротуар вдоль весь ул наиль юсупов чищеный снег человек вынудить ходить дорога создавать опасный аварийный ситуация просить срочно предпринять мера"
" |text заузить дорога кат наледь сантиметр обочина снегопад закончиться неделя назад успеть убрать господин чиновник зп премия успевать получить"
" |text добрый день период снегопад закончиться нужный очистка дорога вывоз бордюр скопиться снег просить включить график"
" |text необходимый восстановить целостность ограждение"
" |text дорога школа высокий колея"
" |text возможно проехать двор"
" |text поселока вознесение улица гали динмухаметов проход пешеходный зона загородить метровый снег человек должный залезать слезать сугроб пешеход носить лопата особенно тяжело мама коляска инвалид местами плохо убрать"
" |text необходимый произвести очистка тротуар"
" |text произвести очистка тротуар"
" |text убрать снег внутриквартальный проезд вид квадрат улица хаким чистопольский парк стамбул меридианный дорога судить ряд снег тротуар частично непроходной"
" |text снег тротуар ул осиновский толкать преддомовый территория вместо вывозить автомобиль невозможно выехать предел свой двор необходимый раскидывать грязный тяжый снег край дорога расчищать"
" |text убирать снег муниципальный платный парковка"
" |text снежный накат правый полоса водитель ехать полоса затруднять движение"
" |text просить трактор амкадора прочистить дорога"
" |text образоваться очень большой коллей чистить наледь дорожник заносить машина встречный полоса"
" |text срочно нужный трактор очистка дорога снег"
" |text чистить дорога невозможно ездить"
" |text чивстив снег тратуаре трактор оставить куча снег человек идти стать обходить сугроб"
" |text год нижнекамск плохо чистить дорога большинство дорога иметься снежный колея"
" |text улица дальний засыпать снег чистить"
" |text ул челюскин ул ударный ул литвинов чистить снег трактор зима проходить скоро участок проходить авто пешеход"
" |text весь снег тротуар тц скидывать именно дорога вокруг тц глубина сантиметр пройти невозможно"
" |text ул чкалов пос орловка застревать машина колея необходимый грейдирование"
" |text каждый год тупиковый часть улица х салимов параллельный улица северный очередной объехать очистить"
" |text очистка снег ул заводский еще производиться год зарастать снег"
" |text пешеходный дорожка детский сад школа очистить возможность район табеев проводить ребенок дойти новый остановка просить расчистить дорожка"
" |text пешеходный дорожка ведущий район табеев магазин эссный чищеный возможность выбраться пешком район просить расчистить"
" |text дорога улица хвойный очищаться снег спецтехника туда вообще заезжать"
" |text большой кульга ул спортивный уберать снег"
" |text улица алтына ай это год чистить дорога снег просить принять мера"
